ID,Ry Tot,Ry Avg,Rx Tot,Rx Avg,Rz Tot,Rz Avg,Rot Tot,Rot Avg,Dist Tot,Dis Avg,S1Rot Tot,S1Rot Avg,S2Rot Tot,S2Rot Avg,S3Rot Tot,S3Rot Avg,S4Rot Tot,S4Rot Avg,S5Rot Tot,S5Rot Avg,S1Dist Tot,S1Dist Avg,S2Dist Tot,S2Dist Avg,S3Dist Tot,S3Dist Avg,S4Dist Tot,S4Dist Avg,S5Dist Tot,S5Dist Avg,LH Ry Tot,LH Ry Avg,LH Rx Tot,LH Rx Avg,LH Rz Tot,LH Rz Avg,LH Rot Tot,LH Rot Avg,LH Dist Tot,LH Dis Avg,LH S1Rot Tot,LH S1Rot Avg,LH S2Rot Tot,LH S2Rot Avg,LH S3Rot Tot,LH S3Rot Avg,LH S4Rot Tot,LH S4Rot Avg,LH S5Rot Tot,LH S5Rot Avg,LH S1Dist Tot,LH S1Dist Avg,LH S2Dist Tot,LH S2Dist Avg,LH S3Dist Tot,LH S3Dist Avg,LH S4Dist Tot,LH S4Dist Avg,LH S5Dist Tot,LH S5Dist Avg,RH Ry Tot,RH Ry Avg,RH Rx Tot,RH Rx Avg,RH Rz Tot,RH Rz Avg,RH Rot Tot,RH Rot Avg,RH Dist Tot,RH Dis Avg,RH S1Rot Tot,RH S1Rot Avg,RH S2Rot Tot,RH S2Rot Avg,RH S3Rot Tot,RH S3Rot Avg,RH S4Rot Tot,RH S4Rot Avg,RH S5Rot Tot,RH S5Rot Avg,RH S1Dist Tot,RH S1Dist Avg,RH S2Dist Tot,RH S2Dist Avg,RH S3Dist Tot,RH S3Dist Avg,RH S4Dist Tot,RH S4Dist Avg,RH S5Dist Tot,RH S5Dist Avg
432,4894.928342000001,40.791069516666674,4838.973554000001,40.324779616666675,8354.567116679998,69.62139263899999,18088.46901268,150.73724177233333,15.449441360127437,0.12874534466772863,7279.111991340001,134.79837021,7116.614406799999,177.91536016999999,3692.7426145400004,142.02856209769232,0.0,nan,0.0,nan,7.634764476384202,0.14138452734044818,2.93241584225936,0.073310396056484,4.882261041483874,0.18777927082630283,0.0,nan,0.0,nan,0.0,40.791069516666674,0.0,40.324779616666675,0.0,69.62139263899999,18088.46901268,150.73724177233333,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,40.791069516666674,0.0,40.324779616666675,0.0,69.62139263899999,18088.46901268,150.73724177233333,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
433,5486.55157,45.721263083333334,10199.640416000002,84.99700346666668,10471.428655719998,87.26190546433331,26157.62064172,217.98017201433333,13.927517558630367,0.11606264632191972,10001.381225199999,185.2107634296296,7877.220288019998,196.9305072005,8279.0191285,318.4238126346154,0.0,nan,0.0,nan,4.26652646878013,0.07900974942185426,2.760348676651067,0.06900871691627668,6.900642413199171,0.2654093235845835,0.0,nan,0.0,nan,0.0,45.721263083333334,0.0,84.99700346666668,0.0,87.26190546433331,26157.62064172,217.98017201433333,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,45.721263083333334,0.0,84.99700346666668,0.0,87.26190546433331,26157.62064172,217.98017201433333,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
434,3171.274204000001,26.64936305882354,8840.767014000003,74.29215978151262,7965.698430580001,66.93864227378151,19977.739648580005,167.8801651141177,11.213783518825348,0.09423347494811217,10777.702485400003,203.35287708301894,4504.97493138,109.8774373507317,4695.0622318,187.802489272,0.0,nan,0.0,nan,7.5759980608219575,0.14294335963815014,0.76015317784513,0.01854032141085683,2.877632280158258,0.11510529120633033,0.0,nan,0.0,nan,0.0,26.64936305882354,0.0,74.29215978151262,0.0,66.93864227378151,19977.739648580005,167.8801651141177,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,26.64936305882354,0.0,74.29215978151262,0.0,66.93864227378151,19977.739648580005,167.8801651141177,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
435,5639.343372,46.994528100000004,9307.621304799997,77.56351087333331,12534.17924052,104.451493671,27481.143917319998,229.00953264433332,11.71445569767405,0.09762046414728374,14227.749980399998,263.4768514888889,10297.957955719998,257.44894889299997,2955.4359812,113.67061466153845,0.0,nan,0.0,nan,4.941492213058792,0.0915091150566443,2.00385083696339,0.05009627092408475,4.76911264765187,0.18342740952507192,0.0,nan,0.0,nan,0.0,46.994528100000004,0.0,77.56351087333331,0.0,104.451493671,27481.143917319998,229.00953264433332,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,46.994528100000004,0.0,77.56351087333331,0.0,104.451493671,27481.143917319998,229.00953264433332,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
436,6266.374304599999,52.21978587166666,7824.405917720003,65.2033826476667,9397.322211860004,78.3110184321667,23488.102434180008,195.73418695150008,8.80857640472182,0.07340480337268182,10531.610992580003,195.02983319592596,5430.5884728,135.76471182,7525.902968799999,289.45780649230767,0.0,nan,0.0,nan,4.540645292193527,0.08408602392950976,2.1145436683514274,0.052863591708785684,2.1533874441768655,0.08282259400680252,0.0,nan,0.0,nan,0.0,52.21978587166666,0.0,65.2033826476667,0.0,78.3110184321667,23488.102434180008,195.73418695150008,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,52.21978587166666,0.0,65.2033826476667,0.0,78.3110184321667,23488.102434180008,195.73418695150008,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
437,7277.984713999999,60.64987261666666,2457.8189729200008,20.48182477433334,8791.164004320002,73.25970003600001,18526.967691240003,154.39139742700002,24.978925360710708,0.2081577113392559,10266.967434740001,190.12902656925928,5065.761083340001,126.64402708350002,3194.23917316,122.85535281384615,0.0,nan,0.0,nan,14.509945359491875,0.2687026918424421,4.4979561307563625,0.11244890326890906,5.971023870462466,0.2296547642485564,0.0,nan,0.0,nan,0.0,60.64987261666666,0.0,20.48182477433334,0.0,73.25970003600001,18526.967691240003,154.39139742700002,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,60.64987261666666,0.0,20.48182477433334,0.0,73.25970003600001,18526.967691240003,154.39139742700002,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan
